6707,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二林,員林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlin Station,Yuanlin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週一~四、六、日行駛,06:10~18:45,週五行駛,06:10~06:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6882,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,臺中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Yuanlin  Bus-Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺站,西螺水利會,西農西側門,水尾,溪墘厝,國光,服務站前,溪州,水利前,舊眉村,大橋組,卓綜合,北斗,復興路口,北斗分局,北斗國中,大道里,菓菜市場,北勢寮,饒平村,田尾國小,田尾身障中心,溪畔,五福村,湳港西,永靖,永興路口,五汴頭,太平,中央里,溝皂,三義里,員林站,法院,三多里,北員林,港尾,村上,蓮花池,過溝,大橋村,大橋頭,新龍,中莊,金墩,橋頭村,花壇,公所前,下口莊,監理站,口莊,頂口莊,楠尾,南興國小,南興里,秀傳醫院,南瑤宮,彰基,縣政府,彰化女中,舊台汽,車路口,長順街口,彰化縣原住民生活館,中庄,國聖國小,王田,善光寺,成功嶺,烏日國中,烏日,中和紡織,明道中學,明道新城,九張犂,樹仔腳,大慶街口,台中高工(復興路),宜寧中學,新和街口,南臺中,國立臺中圖書館(復興路),第三分局,有恆街口,臺中酒廠,臺中火車站(東站),員客臺中站,
Xiluo Station,Xiluo Irrigation Association,Xinong West Side Door,Shuiwei,Xiqiancuo,Guoguang,Services Station,Xizhou,Irrigation Association,Jiumei Village,Daqiaozu,Zhuozonghe,Beidou,Fuxing Road Intersection,Beidou Police District,Beidou Junior High School,Dadao Village,Fruits and Vegetables Market,Beishiliao,Raoping Village,Tianwei Elementary School,Tianwei Disability Center,Xipan,Wufu Village,Nangangxi,Yongjing,Yongxing Road Intersection,Wubiantou,Taiping,Zhongyang Village,Gouzao,Sanyi Village,Yuanlin Station,Court,Sanduo Village,Beiyuanlin,Gangwei,Cunshang,Lianhua Pool,Guogou,Daqiao Village,Daqiaotou,Xinlong,Zhongzhuang,Jindun,Qiaotou Village,Huatan,Township Office,Xiakouzhuang,Motor Vehicles Station,Kouzhuang,Dingkouzhuang,Nanwei,Nanxing Elementary School,Nanxing Village,Show Chwan Memorial Hospital,Nanyao Temple,Zhangji,County Government,Changhua Girls Senior High School.,Old Taiqi,Chelukou,Zhangshun Street  Intersection,Changhua County Indigenous Peoples Activity Center,Zhongzhuang,Guosheng Elementary School,Wangtian,Shanguang Temple,Chenggongling,Wuri Junior High School,Wuri,Zhonghe Textile,Mingdao High School,Mingdao Xincheng,Jiuzhangli,Shuzijiao,Daqing street Intersection,National Taichung Industrial High School(Fuxing Ro,I-Ning High School,Xinhe Street Intersection,Nantaizhong,National Taichung Library(Fuxing Rd.),Third Police District,Youheng Street Intersection,Taichung Distillery,TRA Taichung Station(East Station),Yuanlin  Bus-Taichung Station,
-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
6882A,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,臺中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Yuanlin  Bus-Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經明道大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:40~09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺站,西螺水利會,西農西側門,水尾,溪墘厝,國光,服務站前,溪州,水利前,舊眉村,大橋組,明道大學,卓綜合,北斗,復興路口,北斗分局,北斗國中,大道里,菓菜市場,北勢寮,饒平村,田尾國小,田尾身障中心,溪畔,五福村,湳港西,永靖,永興路口,五汴頭,太平,中央里,溝皂,三義里,員林站,法院,三多里,北員林,港尾,村上,蓮花池,過溝,大橋村,大橋頭,新龍,中莊,金墩,橋頭村,花壇,公所前,下口莊,監理站,口莊,頂口莊,楠尾,南興國小,南興里,秀傳醫院,南瑤宮,彰基,縣政府,彰化女中,舊台汽,車路口,長順街口,彰化縣原住民生活館,中庄,國聖國小,王田,善光寺,成功嶺,烏日國中,烏日,中和紡織,明道中學,明道新城,九張犂,樹仔腳,大慶街口,台中高工(復興路),宜寧中學,新和街口,南臺中,國立臺中圖書館(復興路),第三分局,有恆街口,臺中酒廠,臺中火車站(東站),員客臺中站
Xiluo Station,Xiluo Irrigation Association,Xinong West Side Door,Shuiwei,Xiqiancuo,Guoguang,Services Station,Xizhou,Irrigation Association,Jiumei Village,Daqiaozu,Mingdao University,Zhuozonghe,Beidou,Fuxing Road Intersection,Beidou Police District,Beidou Junior High School,Dadao Village,Fruits and Vegetables Market,Beishiliao,Raoping Village,Tianwei Elementary School,Tianwei Disability Center,Xipan,Wufu Village,Nangangxi,Yongjing,Yongxing Road Intersection,Wubiantou,Taiping,Zhongyang Village,Gouzao,Sanyi Village,Yuanlin Station,Court,Sanduo Village,Beiyuanlin,Gangwei,Cunshang,Lianhua Pool,Guogou,Daqiao Village,Daqiaotou,Xinlong,Zhongzhuang,Jindun,Qiaotou Village,Huatan,Township Office,Xiakouzhuang,Motor Vehicles Station,Kouzhuang,Dingkouzhuang,Nanwei,Nanxing Elementary School,Nanxing Village,Show Chwan Memorial Hospital,Nanyao Temple,Zhangji,County Government,Changhua Girls Senior High School.,Old Taiqi,Chelukou,Zhangshun Street  Intersection,Changhua County Indigenous Peoples Activity Center,Zhongzhuang,Guosheng Elementary School,Wangtian,Shanguang Temple,Chenggongling,Wuri Junior High School,Wuri,Zhonghe Textile,Mingdao High School,Mingdao Xincheng,Jiuzhangli,Shuzijiao,Daqing street Intersection,National Taichung Industrial High School(Fuxing Ro,I-Ning High School,Xinhe Street Intersection,Nantaizhong,National Taichung Library(Fuxing Rd.),Third Police District,Youheng Street Intersection,Taichung Distillery,TRA Taichung Station(East Station),Yuanlin  Bus-Taichung Station
-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
