6714,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西港,彰化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xigang,Yuanke Zhanghua Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林客運 04-8320106,台中區監理所 04-06912011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:35~13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西港,東港,公館路口,西永和,中永和,東永和,永和,磚仔磘,西大城,大城,派出所,東大城,魚寮,外中西,中中西,中西,二林國中,基督教醫院,南光里,中正國小,二林站,衛生所,二林工商,太平路,消防隊,加油站,十三戶,理想新村,洪宗鄰護理之家,王功寮,北王功寮,舊趙甲,彰化監獄,頂厝社區,頂後厝,北後厝,草湖,中草湖,東草湖,西建平村,建平村,竹寮,萬興國中,萬興,萬興派出所,五戶存,柳仔溝,新宏昇,挖仔,代馬,肉品市場,四塊厝,北勢里,田中央,育大,西門,溪湖站,道安醫院,廟前,溪湖國中,莊厝,頂寮,北頂寮,閭山道院,崑崙村,崙仔腳,埔鹽國小,埔鹽,光明加油站,廓仔,福興工業區,下三汴頭,三汴頭,大玉工商區,宗生醫院,三越,埔姜崙,福安,秀水,秀水加油站,秀水臺電,新紡前,秀水橋,平安路口,半路响,金豐,正德高中,莿桐腳,秀傳醫院,南瑤宮,彰基,縣政府,彰化女中,員客彰化站,,,,,,,,,,,,,,,,,,,,,,,
Xigang,Donggang,Gongguan Road  Intersection,Xiyonghe,Zhongyonghe,Dongyonghe,Yonghe,Zhuanziyao,Xidacheng,Dacheng,Police Substation,Dongdacheng,Yuliao,Waizhongxi,Zhongzhongxi,Zhongxi,Erlin Junior High School,Christian Hospital,Nanguang Village,Zhongzheng Elementary School,Erlin Station,Health Center,National Erlin Industrial and Commercial Vocational High School,Taiping Road,Fire Brigade,Gas Station,Shisanhu,Lixiang Village,Nursing Home of Hon's Hospital,Wanggongliao,Beiwanggongliao,Jiuzhaojia,Changhua Prison,Dingcuo Community,Dinghoucuo,Beihoucuo,Caohu,Zhongcaohu,Dongcaohu,Xijianping Village,Jianping Village,Zhuliao,Wanshing Junior High School,Wanxing,Wanxing Police Substation,Wuhucun,Liuzigou,Xinhongsheng,Wazi,Daima,Meat Market,Sikuaicuo,Beishi Village,Tianzhongyang,Yuda,Ximen,Xihu Station,Dao'an Hospital,Temple,Xihu Junior High School,Zhuangcuo,Dingliao,Beidingliao,Lushandaoyuan,Kunlun Village,Lunzijiao,Puyan Elementary School,Puyan,Guangming Gas Station,Kuozi,Fuxing Industrial Park,Xiasanbiantou,Sanbiantou,Dayu Business District,Zongsheng Hospital,Sanyue,Pujianglun,Fu-an,Xiushui,Xiushui Gas Station,Taipower-Xiushui,Xinfangqian,Xiushui Bridge,Ping An intersection,Banluxiang,Jinfeng,Zen Del Senior High School,Citongjiao,Show Chwan Memorial Hospital,Nanyao Temple,Zhangji,County Government,Changhua Girls Senior High School.,Yuanke Zhanghua Station,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
6737,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
