7201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiayi,First Bank,Gongming Rd.,City Hall,Cultural Center,Taidou Street,Houhu,Hong Ren Catholic Girls High School,Peitengzhai,Zhongxiao North Street,Touqiao Industrial Park,Touqiao,Fule New Village,Concordia Middle School,WuFeng University,Shuangfu,Local Tax Bureau: Minxiong Branch,Sieh Chih Vocational High School,Minxiong Township Office,Minxiong,Xikou Rd. Intersection,Minxiong Junior High School,Fuquan Village(I),Fuquan Village(II),Jingbu,Xizhuang,Datan,Sanwanggong Temple,GongQian,Dongtou,Xingang,Xingang Junior High School.,Houzhuang Rd. Intersection,Laotushi,Nantan,Nangang Police Substation,Bantou Rd. Intersection,Shuixian Temple,Anhe Rd. Intersection,Lunyang Rd. Intersection,Sucuoliao,Beigang Police Substation,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文化路口,民族停車場,228紀念館,嘉義高中,嘉義高商,華南商職1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenhua Road Intersection Stop ,Mingtsu Parking Lot ,228 Memorial Museum ,Chiayi Senior High,Chiayi Senior Commerical School,Hua-Nan Commercial High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7231,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子,北港,經六腳,,,,A[延駛至北港高中](週一~五07:00有主線及A支線),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puzi,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0700,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子,正義村,六腳,磚瓦窯,魚寮,竹子腳,港尾寮1,港尾寮,頂寮,六斗尾,西安站,蘇厝寮,北港派出所,北港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puzi,Zhengyi Village,Liujiau,Zhuanwayao,Yuliao,Zhuzijiao,Gangweiliao(I),Gangweiliao,Dingliao,Liudouwei,Xi-an Station,Sucuoliao,Beigang Police Substation,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港農工,北港高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pei-Kang Vocational High,Bei-Gang Senior High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7307,M,,,,,A[繞駛慈濟醫院](週日前2班次為主線),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,梅山,經溝背,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang Township Office,Meishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣公車處 05-2788177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,1050,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,1050,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港鎮公所,水利會,長老會,北港國泰人壽,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,派出所,舊南港,南壇,老塗師,頂菜園,後庄路口,新港國中,新港國小,新港市場,水利工作站,教會前,古民,崙子,北崙,埤子頭(1),埤子頭,天赦庄,崙尾,東崙尾,柴林路口,溪口國小,溪口農會,溪口,溪口國中,陳井寮,排路國小,排子頭,水汴頭,排子路,甘蔗崙,西甘蔗崙,大林,大林國中,果菜市場,水源路,山景社區,三塊厝,義和里,溝背,內林,林子前,變電所,過溪,大埔美,油車店,集貨場,互助社區,崎頭,崎頂營房,新崎頂,崎頂,過山村,梅山工業區,尾庄,新社區,電信局,梅山鄉公所,梅北,梅山市場,玉虛宮,梅山
Beigang Township Office,Irrigation Association,The Presbyterian Church,Beigang Cathy Life Insurance,Sucuoliao,Lunyang Road Intersection,An He Road Intersection,Shuixian Temple,Bantou Road Intersection,Police Station,Old Nangang,Nantan,Laotushi,Dingcaiyuan,Houzhuangzi Road Intersection,Xingang Junior High School.,Hsingang Elementary School,Xingang Market,Irrigation Workstation,Jiaohuiqian,Gumin,Lunzi,Beilun,Bizitou(1),Bizitou,Tianshezhuang,Lunwei,Donglunwei,Chailin Road Intersection,Xikou Elementary School,Xikou Famers' Association,Xikou,Xikou Junior High School,Chenjingliao,Pailu Elementary School,Paizitou,Shuibiantou,Paizi Road,Ganzhelun,Xiganzhelun,Dalin,Dalin Junior High School,Fruit & Vegetable Market,Shuiyuan Road,Shanjing Community,Sankuaicuo,Yihe Village,Goubei,Neilin,Linziqian,Electrical Substation,Guoxi,Dapumei,Youchedian,Goods Yard,Huzhu Community,Qitou,Qiding Barrack,Xinqiding,Qiding,Guoshan Village,Meishan Industrial Park,Weizhuang,New Community,Telecommunications Bureau,Meishan Township Office,Meibei,Meishan Market,Yuxu Temple,Meishan
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基督教會,慈濟醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Church,Tzu Chi General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7325,M,,,,,A[繞駛嘉義高工](支線暑期停駛，無時刻表...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,嘉義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang Township Office,Daya Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣公車處 05-2788177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0740,0840,0940,1040,1140,1240,1340,1440,1540,1610,1650,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0740,0840,0940,1040,1140,1240,1340,1440,1540,1610,1650,1710,1900,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港鎮公所,水利會,長老會,北港國泰人壽,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,派出所,舊南港,南壇,老塗師,頂菜園,後庄路口,新港國中,新港國小,新港香客大樓,新港鄉公所,建昌社區,菜公村,南洋紡織公司,新興社區,月眉潭,月眉國小,水利會,嘉太工業區,華濟醫院,過溝社區,過溝,麻太路,麻魚寮,東麻魚寮,嘉新國中,南新,牛將軍廟,竹村,線路中心,下埤里,朱子公廟,大溪厝,大嘉駕訓班,姜母寮,森松公司,嘉義醫院,市議會,伏龍宮,嘉義,彰化銀行,中央噴水站,市政府,行政執行處,嘉義公園,嘉中,大雅站,,,,,,,,,,,,,,,
Beigang Township Office,Irrigation Association,The Presbyterian Church,Beigang Cathy Life Insurance,Sucuoliao,Lunyang Road Intersection,An He Road Intersection,Shuixian Temple,Bantou Road Intersection,Police Station,Old Nangang,Nantan,Laotushi,Dingcaiyuan,Houzhuangzi Road Intersection,Xingang Junior High School.,Hsingang Elementary School,Xingangxiangke Building,Singang Township Office,Jianchang Community,Caigong Village,Southern Pacific Textile Company,Xinxing Community,Yuemeitan,Yuemei Primary School,Irrigation Association,Jiatai Industry Zone,Huaji Hospital,Guogou Community,Guogou,Matai Road,Mayuliao,Dongmayuliao,Jiaxin Junior High School,Nanxin,Niujiangjun Temple,Jhutscun,Xianluzhongxin,Xiabi Village,Zhuzigong Temple,Dasicuo,Dajia Driving Class,Jiangmuliao,Sensong Company,Chiayi Hospital,City Council,Fulong Temple,Chiayi,Changhwa Bank,Central Fountain Stop,CITY HALL,Admin. Enforcement Agency,Chiayi Park,Chiachung,Daya Stop,,,,,,,,,,,,,,,
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉工,文化路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chia-yi Industrial Voc. High,Wenhua Road Intersection Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
