7136,M,,,,,A[繞駛建國國中、延駛水林國中],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,西螺,經二崙,埔心、崙背、褒忠、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,NSLAIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0805,1010,1210,1405,1550,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0720,1010,1330,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,蔥仔寮,山仔內,元長鄉溪底,褒忠,三塊厝,龍岩,王厝寮,崙前,崙背,水汴頭,打牛湳,二崙,二崙電信局,下茄塘,埔心,文昌國小,西螺站,西螺農工,,,,,,,,,,,,,,,,,,,,,
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Congziliao,Shanzinei,Yuanchang Township Xidi,Baozhong,Sankuaicuo,Longyan,Wangcuoliao,Lunqian,Lunbei,Shuibiantou,Daniunan,Erlun,CHT Erlun,Xiajiatang,Puxin,Wenchang Elementary school,Xiluo Station,Siluo Agricultural Industrial High,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,,,
100016,西螺農工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水林國中,建國國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuilin Junior High School,Jianguo Junior High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
